color,date,slug,title,lshow,link,readings,optional,assigned,ashow,due,dshow
white,22-Jan,Intro + ER Models,,,https://github.com/w4111/w4111.github.io/blob/master/files/lectures/lec1.pdf,"Ch 1, 2",,HW 0,,,
#e7f8ff,22-Jan,ER Models,,,,Ch 2,,"<a href=""https://github.com/w4111/hw1-s19"">HW 1</a><br/><a href=""https://github.com/w4111/project1"">Project 1 Part 1.</a> <br/>LOOK FOR TEAMMATE",0,HW 0,
#e7f8ff,22-Feb,Data Models,,,,Ch 3,"optional: <a href=""./reading/goesaroundcomesaround.pdf"">What goes around comes around</a><br/>optional: <a href=""https://highlyscalable.wordpress.com/2012/03/01/nosql-data-modeling-techniques/"">NoSQL data modeling techniques</a>", ,0,Project 1 Part 1 approval phase,0
#e7f8ff,22-Feb,Data Models + ER->Relational,,,,Ch 3,"optional: <a href=""./reading/codd.pdf"">Original Relational Model paper</a>", ,0,Project 1 Part 1 approval phase,0
#f2f9ed,22-Feb,Relational Algebra,,,,Ch 4,,"<a href=""https://github.com/w4111/project1"">Project 1 Part 2.</a> ",0,,0
#f2f9ed,22-Feb,SQL: Basics,,,,Ch 5,,"<a href=""https://github.com/w4111/hw2-s19"">HW 2</a>",0,HW1,0
#f2f9ed,22-Mar,SQL: Advanced,,,,Ch 5,,,0,,0
white,22-Mar,Midterm,one 8x11 page cheat sheet both sides,,,,,"<a href=""https://github.com/w4111/project1/blob/master/part3.md"">Project 1 Part 3</a><br/><a href=""https://github.com/w4111/hw3-s19"">HW 3</a>",0,HW2,0
white,22-Mar,HOLIDAY,,,,,,,0,Project 1 Part 2,0
#edf3f9,22-Mar,APIs,,,,Ch 6,,,0,,0
#edf3f9,22-Apr,Data Quality,Normalization and data errors,,,Ch 19,,"<a href=""https://github.com/w4111/hw4-s19"">HW 4</a>",0,HW3,0
#ddf9ff,22-Apr,Physical Design,,,,Ch 8,,"<a href=""https://github.com/w4111/project2_s19"">Project 2</a>",0,,0
#ddf9ff,22-Apr,Query Processing,,,,Ch 12,,,0,Project 1 Part 3,0
#ddf9ff,22-Apr,Transactions,,,,"Ch 16, 18",,,0,,0
white,22-Apr,Data Pipelines,,,,,,,0,HW 4,0
white,22-May,Exam 2 (Cumulative),one 8x11 page cheat sheet both sides,,,,,,0,Project 2,0
